,dteday,season,yr,mnth,holiday,weekday,workingday,cnt
0,2011-01-01,1,0,1,0,6,0,985
1,2011-01-02,1,0,1,0,0,0,801
2,2011-01-03,1,0,1,0,1,1,1349
3,2011-01-04,1,0,1,0,2,1,1562
4,2011-01-05,1,0,1,0,3,1,1600
5,2011-01-06,1,0,1,0,4,1,1606
6,2011-01-07,1,0,1,0,5,1,1510
7,2011-01-08,1,0,1,0,6,0,959
8,2011-01-09,1,0,1,0,0,0,822
9,2011-01-10,1,0,1,0,1,1,1321
10,2011-01-11,1,0,1,0,2,1,1263
11,2011-01-12,1,0,1,0,3,1,1162
12,2011-01-13,1,0,1,0,4,1,1406
13,2011-01-14,1,0,1,0,5,1,1421
14,2011-01-15,1,0,1,0,6,0,1248
15,2011-01-16,1,0,1,0,0,0,1204
16,2011-01-17,1,0,1,1,1,0,1000
17,2011-01-18,1,0,1,0,2,1,683
18,2011-01-19,1,0,1,0,3,1,1650
19,2011-01-20,1,0,1,0,4,1,1927
20,2011-01-21,1,0,1,0,5,1,1543
21,2011-01-22,1,0,1,0,6,0,981
22,2011-01-23,1,0,1,0,0,0,986
23,2011-01-24,1,0,1,0,1,1,1416
24,2011-01-25,1,0,1,0,2,1,1985
25,2011-01-26,1,0,1,0,3,1,506
26,2011-01-27,1,0,1,0,4,1,431
27,2011-01-28,1,0,1,0,5,1,1167
28,2011-01-29,1,0,1,0,6,0,1098
29,2011-01-30,1,0,1,0,0,0,1096
30,2011-01-31,1,0,1,0,1,1,1501
31,2011-02-01,1,0,2,0,2,1,1360
32,2011-02-02,1,0,2,0,3,1,1526
33,2011-02-03,1,0,2,0,4,1,1550
34,2011-02-04,1,0,2,0,5,1,1708
35,2011-02-05,1,0,2,0,6,0,1005
36,2011-02-06,1,0,2,0,0,0,1623
37,2011-02-07,1,0,2,0,1,1,1712
38,2011-02-08,1,0,2,0,2,1,1530
39,2011-02-09,1,0,2,0,3,1,1605
40,2011-02-10,1,0,2,0,4,1,1538
41,2011-02-11,1,0,2,0,5,1,1746
42,2011-02-12,1,0,2,0,6,0,1472
43,2011-02-13,1,0,2,0,0,0,1589
44,2011-02-14,1,0,2,0,1,1,1913
45,2011-02-15,1,0,2,0,2,1,1815
46,2011-02-16,1,0,2,0,3,1,2115
47,2011-02-17,1,0,2,0,4,1,2475
48,2011-02-18,1,0,2,0,5,1,2927
49,2011-02-19,1,0,2,0,6,0,1635
50,2011-02-20,1,0,2,0,0,0,1812
51,2011-02-21,1,0,2,1,1,0,1107
52,2011-02-22,1,0,2,0,2,1,1450
53,2011-02-23,1,0,2,0,3,1,1917
54,2011-02-24,1,0,2,0,4,1,1807
55,2011-02-25,1,0,2,0,5,1,1461
56,2011-02-26,1,0,2,0,6,0,1969
57,2011-02-27,1,0,2,0,0,0,2402
58,2011-02-28,1,0,2,0,1,1,1446
59,2011-03-01,1,0,3,0,2,1,1851
